Project_name,Tool_name,CWE_ID,Number_of_Findings,Is_In_CWE_Top_25?
dl-art-school,bandit,CWE-338,153,No
dl-art-school,bandit,CWE-428,6,No
dl-art-school,bandit,CWE-502,4,Yes
dl-art-school,bandit,CWE-78,14,Yes
dl-art-school,codeql,CWE-295,2,No
dl-art-school,dlint,CWE-502,4,Yes
dl-art-school,dlint,CWE-78,4,Yes
dl-art-school,semgrep,CWE-22,34,Yes
dl-art-school,semgrep,CWE-502,5,Yes
dl-art-school,semgrep,CWE-78,3,Yes
instructor,bandit,CWE-338,8,No
instructor,bandit,CWE-428,1,No
instructor,bandit,CWE-78,1,Yes
instructor,bandit,CWE-89,1,Yes
instructor,codeql,CWE-312,2,No
instructor,semgrep,CWE-22,22,Yes
two1-python,bandit,CWE-338,13,No
two1-python,bandit,CWE-428,75,No
two1-python,bandit,CWE-78,82,Yes
two1-python,bandit,CWE-89,3,Yes
two1-python,codeql,CWE-209,12,No
two1-python,codeql,CWE-312,3,No
two1-python,dlint,CWE-78,11,Yes
two1-python,semgrep,CWE-22,31,Yes
two1-python,semgrep,CWE-502,5,Yes
two1-python,semgrep,CWE-78,4,Yes
